jp_name	cn_name_simp	cn_name_trad	count
マシュ	玛修	瑪修	40126
ダ・ヴィンチ	达·芬奇	達．文西	18600
？？？	？？？	？？？	8281
ゴルドルフ	戈尔德鲁夫	戈爾德魯夫	8154
ホームズ	福尔摩斯	福爾摩斯	8131
Dr.ロマン	Dr.罗曼	Dr.羅曼	6501
カドック	卡多克	卡多克	4695
ジャンヌ・オルタ	贞德·Alter	貞德．Alter	4412
モリアーティ	莫里亚蒂	莫里亞蒂	3769
エリザベート	伊丽莎白	伊莉莎白	3742
シオン	希翁	紫苑	3562
坂田金時	坂田金时	坂田金時	3497
武蔵	武藏	武藏	3160
アルトリア	阿尔托莉雅	阿爾托莉亞	3045
フォウ	芙芙	芙芙	2923
刑部姫	刑部姬	刑部姬	2867
カーマ	迦摩	迦摩	2805
モードレッド	莫德雷德	莫德雷德	2756
オベロン	奥伯龙	奧伯隆	2529
イアソン	伊阿宋	伊阿宋	2520
ネモ	尼莫	尼莫	2456
オルガマリー	オルガマリー	奧爾嘉瑪麗	2220
黒髭	黑胡子	黑鬍子	2174
エルメロイⅡ世	埃尔梅罗Ⅱ世	埃爾梅羅Ⅱ世	2231
コヤンスカヤ	高扬斯卡娅	高揚斯卡婭	2262
ロビンフッド	罗宾汉	羅賓漢	2206
紫式部	紫式部	紫式部	2206
イシュタル	伊什塔尔	伊絲塔	2209
メドゥーサ	美杜莎	美杜莎	2083
葛飾北斎	葛饰北斋	葛飾北齋	2096
ニトクリス	尼托克丽丝	尼托克里絲	2071
アビゲイル	阿比盖尔	艾比蓋兒	2073
ネロ	尼禄	尼祿	2079
ギルガメッシュ	吉尔伽美什	吉爾伽美什	2068
茨木童子	茨木童子	茨木童子	1939
源頼光	源赖光	源賴光	1886
マンドリカルド	曼迪卡尔多	曼迪卡爾多	1916
ＢＢ	BB	BB	1903
エミヤ	卫宫	Emiya	1878
太公望	太公望	太公望	1794
プトレマイオス	托勒密	托勒密	1497
天草四郎	天草四郎	天草四郎	1796
カイニス	凯妮斯	凱妮絲	1763
清姫	清姬	清姬	1725
ジャンヌ	贞德	貞德	1717
清少納言	清少纳言	清少納言	1682
スカサハ＝スカディ	斯卡哈·斯卡蒂	斯卡薩哈=斯卡蒂	1725
ラーマ	罗摩	羅摩	1661
段蔵	段藏	段藏	1653
千子村正	千子村正	千子村正	1583
スカサハ	斯卡哈	斯卡薩哈	1639
牛若丸	牛若丸	牛若丸	1600
オリオン	俄里翁	俄里翁	1566
エリセ	绘里濑	繪里世	1464
シャルロット・コルデー	夏洛特·科黛	夏洛特．科黛	1530
ペペロンチーノ	佩佩隆奇诺	佩佩隆奇諾	1526
メイヴ	梅芙	梅芙	1534
アストルフォ	阿斯托尔福	阿斯托爾福	1552
アスクレピオス	阿斯克勒庇俄斯	阿斯克勒庇俄斯	1458
クー・フーリン	库·丘林	庫．夫林	1404
パーシヴァル	珀西瓦尔	帕西瓦爾	1489
マーリン	梅林	梅林	1498
虞美人	雏罂	虞美人	1394
アナスタシア	阿纳斯塔西娅	安娜塔西亞	1452
ナポレオン	拿破仑	拿破崙	1444
呼延灼	呼延灼	呼延灼	1369
ダンテ	但丁		1344
風魔小太郎	风魔小太郎	風魔小太郎	1374
キルケー	喀耳刻	喀耳刻	1268
ガレス	加雷斯	加雷斯	1355
イリヤ	伊莉雅	伊莉雅	1377
酒呑童子	酒吞童子	酒吞童子	1364
モレー	莫莱	莫萊	1298
沖田総司	冲田总司	沖田總司	1305
三蔵	三藏	三藏	1354
武則天	周照	武則天	1278
アキレウス	阿喀琉斯	阿基里斯	1319
ライネス	莱妮丝	萊涅絲	1254
カルナ	迦尔纳	迦爾納	1305
トリスタン	崔斯坦	崔斯坦	1286
キリシュタリア	基尔什塔利亚	基爾什塔利亞	1300
エジソン	爱迪生	愛迪生	1293
パッションリップ	Passionlip	Passionlip	1145
ゴッホ	梵高	梵谷	1184
エレシュキガル	埃列什基伽勒	埃列什基伽勒	1217
アルジュナ	阿周那	阿周那	1184
巴御前	巴御前	巴御前	1121
玉藻の前	玉藻前	玉藻前	1190
ムニエル	穆尼尔	穆尼爾	1176
バーソロミュー	巴沙洛缪	巴索羅繆	1207
シグルド	齐格鲁德	齊格魯德	1199
徐福	方巿	徐福	1189
織田信長	织田信长	織田信長	1115
サリエリ	萨列里	薩里耶利	1137
ヴラド三世	弗拉德三世	弗拉德三世	1161
ハベトロット	哈贝特洛特	哈貝特洛特	1146
シェヘラザード	山鲁佐德	雪赫拉莎德	1085
マリー	玛丽	瑪莉	1148
宮本伊織	宮本伊織	宮本伊織	1079
