profile_id	provider	locale	voice_name	style	pitch	rate	volume	description
default_narrator	azure	ja-JP	ja-JP-NanamiNeural	chat	0%	1.00	100	Default Japanese narrator style
default_cn_narrator	azure	zh-CN	zh-CN-XiaoxiaoNeural	chat	0%	1.00	100	Default Chinese narrator style
mashu_soft_female	azure	ja-JP	ja-JP-NanamiNeural	chat	+4%	0.96	100	Manual Japanese profile for マシュ
mashu_cn_gentle	azure	zh-CN	zh-CN-XiaoxiaoNeural	gentle	+4%	0.98	100	Manual Chinese profile for 玛修
auto_0e2fab7c39_jp	azure	ja-JP	ja-JP-AoiNeural		-3%	0.96	100	Auto female_noble Japanese profile for アルトリア・ペンドラゴン
auto_0e2fab7c39_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-1%	0.99	100	Auto female_noble Chinese profile for 阿尔托莉雅·潘德拉贡
auto_c333c7cde7_jp	azure	ja-JP	ja-JP-NaokiNeural		-3%	0.90	100	Auto alter_shadow Japanese profile for アルトリア・オルタ
auto_c333c7cde7_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-5%	0.92	100	Auto alter_shadow Chinese profile for 阿尔托莉雅·Alter
auto_c97a16c98a_jp	azure	ja-JP	ja-JP-NanamiNeural		-2%	0.93	100	Auto female_shadow Japanese profile for サンタオルタ
auto_c97a16c98a_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-6%	0.92	100	Auto female_shadow Chinese profile for 圣诞Alter
auto_b4f0f86400_jp	azure	ja-JP	ja-JP-AoiNeural		0%	0.98	100	Auto female_noble Japanese profile for ネロ・クラウディウス
auto_b4f0f86400_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-1%	0.97	100	Auto female_noble Chinese profile for 尼禄·克劳狄乌斯
auto_ef27a2a5cc_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	1.00	100	Auto male_heroic Japanese profile for ジークフリート
auto_ef27a2a5cc_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-4%	0.99	100	Auto male_heroic Chinese profile for 齐格飞
auto_549dbfdef3_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	1.01	100	Auto male_heroic Japanese profile for ガイウス・ユリウス・カエサル
auto_549dbfdef3_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-6%	0.96	100	Auto male_heroic Chinese profile for 盖乌斯·尤利乌斯·恺撒
auto_ed7450aa21_jp	azure	ja-JP	ja-JP-AoiNeural		+2%	1.00	100	Auto female_noble Japanese profile for アルテラ
auto_ed7450aa21_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+1%	1.00	100	Auto female_noble Chinese profile for 阿蒂拉
auto_2231d3d12f_jp	azure	ja-JP	ja-JP-NanamiNeural		0%	0.95	100	Auto female_cool Japanese profile for アルテラサンタ
auto_2231d3d12f_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-3%	0.95	100	Auto female_cool Chinese profile for 阿蒂拉圣诞
auto_bebeb7393b_jp	azure	ja-JP	ja-JP-DaichiNeural		-4%	1.02	100	Auto male_heroic Japanese profile for ジル・ド・レェ
auto_bebeb7393b_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-1%	0.97	100	Auto male_heroic Chinese profile for 吉尔·德·雷
auto_dde1005b70_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.95	100	Auto male_calm Japanese profile for シュヴァリエ・デオン
auto_dde1005b70_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-6%	0.95	100	Auto male_calm Chinese profile for 骑士迪昂
auto_bc03e7095c_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.93	100	Auto male_gruff Japanese profile for エミヤ
auto_bc03e7095c_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-3%	0.94	100	Auto male_gruff Chinese profile for 卫宫
auto_0ab06217c0_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	1.03	100	Auto male_heroic Japanese profile for ギルガメッシュ
auto_0ab06217c0_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-2%	1.01	100	Auto male_heroic Chinese profile for 吉尔伽美什
auto_8d5922de6d_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	0.97	100	Auto male_gruff Japanese profile for ロビンフッド
auto_8d5922de6d_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-5%	0.95	100	Auto male_gruff Chinese profile for 罗宾汉
auto_afc03923c2_jp	azure	ja-JP	ja-JP-NanamiNeural		0%	0.98	100	Auto female_cool Japanese profile for アタランテ
auto_afc03923c2_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-2%	0.98	100	Auto female_cool Chinese profile for 阿塔兰忒
auto_44db04cfea_jp	azure	ja-JP	ja-JP-NanamiNeural		+1%	0.93	100	Auto female_cool Japanese profile for エウリュアレ
auto_44db04cfea_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	+1%	0.95	100	Auto female_cool Chinese profile for 尤瑞艾莉
auto_adc6c75815_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.98	100	Auto male_gruff Japanese profile for アーラシュ
auto_adc6c75815_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-6%	0.98	100	Auto male_gruff Chinese profile for 阿拉什
auto_b7e46b7abf_jp	azure	ja-JP	ja-JP-DaichiNeural		-3%	1.02	100	Auto male_heroic Japanese profile for クー・フーリン
auto_b7e46b7abf_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-1%	1.01	100	Auto male_heroic Chinese profile for 库·丘林
auto_d62e092f94_jp	azure	ja-JP	ja-JP-AoiNeural		-3%	0.96	100	Auto female_noble Japanese profile for エリザベート・バートリー
auto_d62e092f94_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+1%	0.94	100	Auto female_noble Chinese profile for 伊丽莎白·巴托里
auto_70e4f2cdc1_jp	azure	ja-JP	ja-JP-DaichiNeural		-1%	1.01	100	Auto male_heroic Japanese profile for 武蔵坊弁慶
auto_70e4f2cdc1_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-7%	0.97	100	Auto male_heroic Chinese profile for 武藏坊弁庆
auto_1b6aa1ce5a_jp	azure	ja-JP	ja-JP-DaichiNeural		-1%	0.99	100	Auto male_heroic Japanese profile for レオニダス一世
auto_1b6aa1ce5a_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-7%	0.98	100	Auto male_heroic Chinese profile for 列奥尼达一世
auto_ea34239935_jp	azure	ja-JP	ja-JP-DaichiNeural		-4%	1.01	100	Auto male_heroic Japanese profile for ロムルス
auto_ea34239935_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-1%	0.98	100	Auto male_heroic Chinese profile for 罗穆路斯
auto_35e5910c4a_jp	azure	ja-JP	ja-JP-AoiNeural		+2%	0.97	100	Auto female_noble Japanese profile for メドゥーサ
auto_35e5910c4a_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	+1%	0.95	100	Auto female_noble Chinese profile for 美杜莎
auto_fea188815e_jp	azure	ja-JP	ja-JP-DaichiNeural		-6%	0.97	100	Auto male_heroic Japanese profile for ゲオルギウス
auto_fea188815e_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-6%	0.98	100	Auto male_heroic Chinese profile for 乔尔乔斯
auto_0046e3a5b6_jp	azure	ja-JP	ja-JP-DaichiNeural		-7%	1.03	100	Auto male_heroic Japanese profile for エドワード・ティーチ
auto_0046e3a5b6_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-5%	0.98	100	Auto male_heroic Chinese profile for 爱德华·蒂奇
auto_3330e1487f_jp	azure	ja-JP	ja-JP-AoiNeural		+3%	0.96	100	Auto female_noble Japanese profile for ブーディカ
auto_3330e1487f_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	0%	0.99	100	Auto female_noble Chinese profile for 布狄卡
auto_2ebd9f152a_jp	azure	ja-JP	ja-JP-AoiNeural		+2%	0.96	100	Auto female_noble Japanese profile for 牛若丸
auto_2ebd9f152a_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	-3%	0.96	100	Auto female_noble Chinese profile for 牛若丸
auto_0049528354_jp	azure	ja-JP	ja-JP-DaichiNeural		-3%	0.98	100	Auto male_heroic Japanese profile for アレキサンダー
auto_0049528354_cn	azure	zh-CN	zh-CN-YunyeNeural	serious	-2%	0.95	100	Auto male_heroic Chinese profile for 亚历山大
auto_03294f5b15_jp	azure	ja-JP	ja-JP-AoiNeural		+3%	0.95	100	Auto female_noble Japanese profile for マリー・アントワネット
auto_03294f5b15_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	0%	0.98	100	Auto female_noble Chinese profile for 玛丽·安托瓦内特
auto_42826e1936_jp	azure	ja-JP	ja-JP-AoiNeural		-2%	0.96	100	Auto female_noble Japanese profile for マルタ
auto_42826e1936_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	serious	0%	0.96	100	Auto female_noble Chinese profile for 玛尔达
auto_203bb2dc53_jp	azure	ja-JP	ja-JP-AoiNeural		0%	1.05	100	Auto female_bright Japanese profile for サンタマルタ
auto_203bb2dc53_cn	azure	zh-CN	zh-CN-XiaoyiNeural	cheerful	0%	1.05	100	Auto female_bright Chinese profile for 圣诞玛尔达
auto_4f48dbef74_jp	azure	ja-JP	ja-JP-NanamiNeural		+1%	0.91	100	Auto female_mystic Japanese profile for メディア
auto_4f48dbef74_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-2%	0.92	100	Auto female_mystic Chinese profile for 美狄亚
auto_9fcd9e640e_jp	azure	ja-JP	ja-JP-NaokiNeural		-1%	0.97	100	Auto male_calm Japanese profile for ハンス・クリスチャン・アンデルセン
auto_9fcd9e640e_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-6%	0.92	100	Auto male_calm Chinese profile for 汉斯·克里斯蒂安·安徒生
auto_cf8c65ccd6_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.91	100	Auto male_calm Japanese profile for ウィリアム・シェイクスピア
auto_cf8c65ccd6_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-5%	0.93	100	Auto male_calm Chinese profile for 威廉·莎士比亚
auto_a4b4f6f061_jp	azure	ja-JP	ja-JP-NaokiNeural		-4%	0.93	100	Auto male_calm Japanese profile for メフィストフェレス
auto_a4b4f6f061_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-1%	0.96	100	Auto male_calm Chinese profile for 梅菲斯托费勒斯
auto_79c0f103a3_jp	azure	ja-JP	ja-JP-NaokiNeural		-6%	0.93	100	Auto male_calm Japanese profile for ヴォルフガング・アマデウス・モーツァルト
auto_79c0f103a3_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-6%	0.96	100	Auto male_calm Chinese profile for 沃尔夫冈·阿马德乌斯·莫扎特
auto_3c9ee6c747_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.94	100	Auto male_calm Japanese profile for 諸葛孔明
auto_3c9ee6c747_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-3%	0.92	100	Auto male_calm Chinese profile for 诸葛孔明
auto_869cdaf6d6_jp	azure	ja-JP	ja-JP-NaokiNeural		+2%	1.02	100	Auto male_bright Japanese profile for エルメロイⅡ世
auto_869cdaf6d6_cn	azure	zh-CN	zh-CN-YunxiNeural	cheerful	-3%	1.00	100	Auto male_bright Chinese profile for 埃尔梅罗Ⅱ世
auto_29ee071d98_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.95	100	Auto male_calm Japanese profile for 佐々木小次郎
auto_29ee071d98_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-3%	0.91	100	Auto male_calm Chinese profile for 佐佐木小次郎
auto_3e10f79e87_jp	azure	ja-JP	ja-JP-NaokiNeural		-6%	0.92	100	Auto male_calm Japanese profile for 呪腕のハサン
auto_3e10f79e87_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-6%	0.95	100	Auto male_calm Chinese profile for 咒腕哈桑
auto_16635e4a9e_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.91	100	Auto female_mystic Japanese profile for ステンノ
auto_16635e4a9e_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-1%	0.91	100	Auto female_mystic Chinese profile for 斯忒诺
auto_06c07ee875_jp	azure	ja-JP	ja-JP-NanamiNeural		-2%	0.93	100	Auto female_mystic Japanese profile for 荊軻
auto_06c07ee875_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	+1%	0.91	100	Auto female_mystic Chinese profile for 荆轲
auto_cc96be27f9_jp	azure	ja-JP	ja-JP-NaokiNeural		-2%	0.97	100	Auto male_calm Japanese profile for シャルル＝アンリ・サンソン
auto_cc96be27f9_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	-3%	0.93	100	Auto male_calm Chinese profile for 夏尔·亨利·桑松
auto_ba40243f3d_jp	azure	ja-JP	ja-JP-NaokiNeural		-4%	0.94	100	Auto male_calm Japanese profile for ファントム・オブ・ジ・オペラ
auto_ba40243f3d_cn	azure	zh-CN	zh-CN-YunxiNeural	serious	0%	0.97	100	Auto male_calm Chinese profile for 剧院魅影
auto_3556ce7914_jp	azure	ja-JP	ja-JP-NanamiNeural		-4%	0.92	100	Auto female_mystic Japanese profile for マタ・ハリ
auto_3556ce7914_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-4%	0.95	100	Auto female_mystic Chinese profile for 玛塔·哈丽
auto_d3e8cb4615_jp	azure	ja-JP	ja-JP-NanamiNeural		-1%	0.92	100	Auto female_mystic Japanese profile for カーミラ
auto_d3e8cb4615_cn	azure	zh-CN	zh-CN-XiaoxiaoNeural	calm	-2%	0.94	100	Auto female_mystic Chinese profile for 卡米拉
auto_1b20d66d89_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.94	100	Auto male_gruff Japanese profile for ヘラクレス
auto_1b20d66d89_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-5%	0.98	100	Auto male_gruff Chinese profile for 赫拉克勒斯
auto_19125e0620_jp	azure	ja-JP	ja-JP-DaichiNeural		-8%	0.98	100	Auto male_gruff Japanese profile for ランスロット
auto_19125e0620_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-4%	0.92	100	Auto male_gruff Chinese profile for 兰斯洛特
auto_089013a31d_jp	azure	ja-JP	ja-JP-DaichiNeural		-5%	0.93	100	Auto male_gruff Japanese profile for 呂布奉先
auto_089013a31d_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-9%	0.92	100	Auto male_gruff Chinese profile for 吕布奉先
auto_89d461e0bf_jp	azure	ja-JP	ja-JP-DaichiNeural		-5%	0.96	100	Auto male_gruff Japanese profile for スパルタクス
auto_89d461e0bf_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-5%	0.96	100	Auto male_gruff Chinese profile for 斯巴达克斯
auto_0273066368_jp	azure	ja-JP	ja-JP-DaichiNeural		-10%	0.98	100	Auto male_gruff Japanese profile for 坂田金時
auto_0273066368_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-8%	0.96	100	Auto male_gruff Chinese profile for 坂田金时
auto_b491c5aee9_jp	azure	ja-JP	ja-JP-DaichiNeural		-9%	0.93	100	Auto male_gruff Japanese profile for ヴラド三世
auto_b491c5aee9_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-8%	0.96	100	Auto male_gruff Chinese profile for 弗拉德三世
auto_3762fa4bb0_jp	azure	ja-JP	ja-JP-DaichiNeural		-5%	0.93	100	Auto male_gruff Japanese profile for アステリオス
auto_3762fa4bb0_cn	azure	zh-CN	zh-CN-YunyeNeural	disgruntled	-6%	0.94	100	Auto male_gruff Chinese profile for 阿斯忒里俄斯
auto_a45c9e3584_jp	azure	ja-JP	ja-JP-DaichiNeural		-7%	0.92	100	Auto male_gruff Japanese profile for カリギュラ
