jp_name	cn_name	en_name	gender	aliases
マシュ・キリエライト	玛修·基列莱特	Mash Kyrielight	女性	マシュキリエライト
マシュ	玛修	Mash	女性	
アルトリア・ペンドラゴン	阿尔托莉雅·潘德拉贡	Altria Pendragon	女性	アルトリアペンドラゴン
アルトリア・オルタ	阿尔托莉雅·Alter	Altria Alter	女性	アルトリアオルタ
サンタオルタ	圣诞Alter	Santa Alter	女性	
ネロ・クラウディウス	尼禄·克劳狄乌斯	Nero Claudius	女性	ネロクラウディウス
ジークフリート	齐格飞	Siegfried	男性	
ガイウス・ユリウス・カエサル	盖乌斯·尤利乌斯·恺撒	Gaius Julius Caesar	男性	ガイウスユリウスカエサル
アルテラ	阿蒂拉	Altera	女性	
アルテラサンタ	阿蒂拉圣诞	Attila the San(ta)	女性	
ジル・ド・レェ	吉尔·德·雷	Gilles de Rais	男性	ジルドレェ
シュヴァリエ・デオン	骑士迪昂	Chevalier d'Eon	性別不明	シュヴァリエデオン
エミヤ	卫宫	Emiya	男性	
ギルガメッシュ	吉尔伽美什	Gilgamesh	男性	
ロビンフッド	罗宾汉	Robin Hood	男性	
アタランテ	阿塔兰忒	Atalante	女性	
エウリュアレ	尤瑞艾莉	Euryale	女性	
アーラシュ	阿拉什	Arash	男性	
クー・フーリン	库·丘林	Cú Chulainn	男性	クーフーリン
エリザベート・バートリー	伊丽莎白·巴托里	Elisabeth Báthory	女性	エリザベートバートリー
武蔵坊弁慶	武藏坊弁庆	Musashibou Benkei	男性	
レオニダス一世	列奥尼达一世	Leonidas I	男性	
ロムルス	罗穆路斯	Romulus	男性	
メドゥーサ	美杜莎	Medusa	女性	
ゲオルギウス	乔尔乔斯	Georgios	男性	
エドワード・ティーチ	爱德华·蒂奇	Edward Teach	男性	エドワードティーチ
ブーディカ	布狄卡	Boudica	女性	
牛若丸	牛若丸	Ushiwakamaru	女性	
アレキサンダー	亚历山大	Alexander	男性	
マリー・アントワネット	玛丽·安托瓦内特	Marie Antoinette	女性	マリーアントワネット
マルタ	玛尔达	Martha	女性	
サンタマルタ	圣诞玛尔达	Martha Santa	女性	
メディア	美狄亚	Medea	女性	
ハンス・クリスチャン・アンデルセン	汉斯·克里斯蒂安·安徒生	Hans Christian Andersen	男性	ハンスクリスチャンアンデルセン
ウィリアム・シェイクスピア	威廉·莎士比亚	William Shakespeare	男性	ウィリアムシェイクスピア
メフィストフェレス	梅菲斯托费勒斯	Mephistopheles	男性	
ヴォルフガング・アマデウス・モーツァルト	沃尔夫冈·阿马德乌斯·莫扎特	Wolfgang Amadeus Mozart	男性	ヴォルフガングアマデウスモーツァルト
諸葛孔明	诸葛孔明	Zhuge Liang	男性	
エルメロイⅡ世	埃尔梅罗Ⅱ世	Lord El-Melloi II	男性	エルメロイ1世,エルメロイII世,エルメロイI世,エルメロイ11世
佐々木小次郎	佐佐木小次郎	Sasaki Kojirou	男性	
