jp_name	cn_name	aliases	jp_profile_id	cn_profile_id	voice_archetype	cv_jp	gender	personality_tags	confidence	source_url	notes	jp_voice_name	jp_style	jp_pitch	jp_rate	cn_voice_name	cn_style	cn_pitch	cn_rate
マシュ・キリエライト	玛修·基列莱特	マシュキリエライト|マシュ|キリエライト|基列莱特|玛修|Mash|Mashu|玛修·基列莱特	mashu_soft_female	mashu_cn_gentle	gentle_support	高橋李依	female	gentle,loyal,young,earnest	manual	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	seed profile; tune by listening; atlas metadata filled blank cv/gender	ja-JP-NanamiNeural	chat	+4%	0.96	zh-CN-XiaoxiaoNeural	gentle	+4%	0.98
アルトリア・ペンドラゴン	阿尔托莉雅·潘德拉贡	アルトリアペンドラゴン	auto_0e2fab7c39_jp	auto_0e2fab7c39_cn	female_noble	川澄綾子	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-AoiNeural		-3%	0.96	zh-CN-XiaoxiaoNeural	serious	-1%	0.99
アルトリア・オルタ	阿尔托莉雅·Alter	アルトリアオルタ	auto_c333c7cde7_jp	auto_c333c7cde7_cn	alter_shadow		neutral	dark,controlled,severe	auto		auto draft; tune in term_builder/character_voice_overrides.tsv	ja-JP-NaokiNeural		-3%	0.90	zh-CN-YunxiNeural	serious	-5%	0.92
サンタオルタ	圣诞Alter		auto_c97a16c98a_jp	auto_c97a16c98a_cn	female_shadow	川澄綾子	female	dark,controlled,severe	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=rider	ja-JP-NanamiNeural		-2%	0.93	zh-CN-XiaoxiaoNeural	serious	-6%	0.92
ネロ・クラウディウス	尼禄·克劳狄乌斯	ネロクラウディウス|クラウディウス|克劳狄乌斯	auto_b4f0f86400_jp	auto_b4f0f86400_cn	female_noble	丹下桜	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-AoiNeural		0%	0.98	zh-CN-XiaoxiaoNeural	serious	-1%	0.97
ジークフリート	齐格飞		auto_ef27a2a5cc_jp	auto_ef27a2a5cc_cn	male_heroic	諏訪部順一	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-DaichiNeural		-6%	1.00	zh-CN-YunyeNeural	serious	-4%	0.99
ガイウス・ユリウス・カエサル	盖乌斯·尤利乌斯·恺撒	ガイウスユリウスカエサル|ガイウス|ユリウス|カエサル|盖乌斯|尤利乌斯	auto_549dbfdef3_jp	auto_549dbfdef3_cn	male_heroic	置鮎龍太郎	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-DaichiNeural		-6%	1.01	zh-CN-YunyeNeural	serious	-6%	0.96
アルテラ	阿蒂拉		auto_ed7450aa21_jp	auto_ed7450aa21_cn	female_noble	能登麻美子	female	noble,formal,commanding	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-AoiNeural		+2%	1.00	zh-CN-XiaoxiaoNeural	serious	+1%	1.00
アルテラサンタ	阿蒂拉圣诞		auto_2231d3d12f_jp	auto_2231d3d12f_cn	female_cool	能登麻美子	female	cool,controlled,quiet	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=archer	ja-JP-NanamiNeural		0%	0.95	zh-CN-XiaoxiaoNeural	calm	-3%	0.95
ジル・ド・レェ	吉尔·德·雷	ジルドレェ	auto_bebeb7393b_jp	auto_bebeb7393b_cn	male_heroic	鶴岡聡	male	heroic,firm,strong	atlas	https://api.atlasacademy.io/export/JP/nice_servant_lore.json	atlas metadata; auto voice draft; tune in term_builder/character_voice_overrides.tsv; atlas class=saber	ja-JP-DaichiNeural		-4%	1.02	zh-CN-YunyeNeural	serious	-1%	0.97
