speaker_id	aliases	voice_type	cn_voice_name	cn_style	cn_pitch	cn_rate	cn_volume
マシュ	マシュ|家老マシュ|マシュ《ナレーター》|マシュ？|歴史研究家マシュ・キリエライト博士|修学旅行マシュ|ナレーションマシュ|マシュの声|マシュ《プロンプト》|水着新選組臨時隊士マシュ|マシュ（妄想）|ナレーション・マシュ|お茶のマシュ博士|マシュ・キリエライト	young_female	zh-CN-XiaoyouMultilingualNeural	cheerful	+6%	0.96	100
ダ・ヴィンチ	ダ・ヴィンチ|ダ・ヴィンチちゃん|ダ・ヴィンチ？|ダ・ヴィンチの声	child	zh-CN-XiaoyouMultilingualNeural	cute	+7%	1.02	100
？？？	？？？	unknown	zh-CN-XiaoxiaoNeural	chat	0%	0.98	100
ゴルドルフ	ゴルドルフ|徳川ゴルドルフ|ゴルドルフ（通信）	mature_male	zh-CN-YunzeNeural	disgruntled	-4%	0.94	100
ホームズ	ホームズ|ホームズ？	mature_male	zh-CN-YunjianNeural	serious	-2%	0.95	100
Dr.ロマン	Dr.ロマン|Dr．ロマン	young_male	zh-CN-YunxiNeural	chat	+2%	1.00	100
カドック	カドック	young_male	zh-CN-YunxiNeural	serious	0%	0.96	100
ジャンヌ・オルタ	ジャンヌ・オルタ|ジャンヌ・オルタ？	mature_female	zh-CN-XiaoruiNeural	angry	-2%	0.94	100
モリアーティ	モリアーティ	young_male	zh-CN-YunxiNeural	chat	+1%	0.99	100
エリザベート	エリザベート|エリザベート？	young_female	zh-CN-XiaoyiNeural	cheerful	+6%	1.03	100
シオン	シオン|シオン？	young_female	zh-CN-XiaohanNeural	calm	+2%	1.00	100
坂田金時	坂田金時|坂田金時？	mature_male	zh-CN-YunjianNeural	cheerful	-2%	0.96	100
武蔵	武蔵|武蔵？	mature_female	zh-CN-XiaomoNeural	cheerful	+1%	1.02	100
アルトリア	アルトリア|アルトリア？	mature_female	zh-CN-XiaoxiaoNeural	serious	0%	0.96	100
フォウ	フォウ|フォウ？	child	zh-CN-XiaoshuangNeural	chat	+10%	1.04	100
カーマ	カーマ	young_female	zh-CN-XiaomoNeural	gentle	+3%	0.95	100
刑部姫	刑部姫	young_female	zh-CN-XiaomengNeural	chat	+5%	1.03	100
モードレッド	モードレッド|モードレッド？|モードレッドの声	androgynous	zh-CN-XiaomoNeural	angry	-1%	0.98	100
オベロン	オベロン|オベロン？	androgynous	zh-CN-YunxiNeural	cheerful	0%	0.98	100
イアソン	イアソン	young_male	zh-CN-YunxiNeural	chat	+1%	1.03	100
ネモ	ネモ|ネモ？	androgynous	zh-CN-YunxiaNeural	calm	+3%	0.99	100
オルガマリー	オルガマリー|オルガマリー？	young_female	zh-CN-XiaohanNeural	angry	+2%	0.98	100
エルメロイⅡ世	エルメロイⅡ世|エルメロイⅡ世？	mature_male	zh-CN-YunjianNeural	serious	-3%	0.94	100
黒髭	黒髭|黒髭？	mature_male	zh-CN-YunfengNeural	cheerful	-2%	0.98	100
コヤンスカヤ	コヤンスカヤ	mature_female	zh-CN-XiaomoNeural	envious	+1%	0.96	100
ロビンフッド	ロビンフッド	young_male	zh-CN-YunxiNeural	chat	0%	1.00	100
紫式部	紫式部	mature_female	zh-CN-XiaohanNeural	gentle	-1%	0.95	100
イシュタル	イシュタル	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.02	100
メドゥーサ	メドゥーサ|メドゥーサ？	mature_female	zh-CN-XiaoruiNeural	calm	-1%	0.94	100
葛飾北斎	葛飾北斎	young_female	zh-CN-XiaoyiNeural	cheerful	+5%	1.02	100
ニトクリス	ニトクリス	young_female	zh-CN-XiaohanNeural	embarrassed	+3%	1.00	100
アビゲイル	アビゲイル	child	zh-CN-XiaoshuangNeural	chat	+8%	0.98	100
ネロ	ネロ|ネロ？	young_female	zh-CN-XiaoxiaoNeural	cheerful	+5%	1.03	100
ギルガメッシュ	ギルガメッシュ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
茨木童子	茨木童子	child	zh-CN-XiaoyouMultilingualNeural	cute	+8%	1.05	100
源頼光	源頼光|源頼光の声	mature_female	zh-CN-XiaoxiaoNeural	affectionate	-1%	0.94	100
ＢＢ	ＢＢ|ＢＢ？	young_female	zh-CN-XiaomengNeural	chat	+5%	1.04	100
マンドリカルド	マンドリカルド|マンドリカルド？	young_male	zh-CN-YunxiNeural	embarrassed	+1%	0.97	100
エミヤ	エミヤ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.95	100
太公望	太公望	mature_male	zh-CN-YunxiNeural	narration-relaxed	-1%	0.98	100
プトレマイオス	プトレマイオス	elder_male	zh-CN-YunzeNeural	calm	-5%	0.92	100
天草四郎	天草四郎	young_male	zh-CN-YunxiaNeural	calm	+3%	0.98	100
カイニス	カイニス	androgynous	zh-CN-XiaomoNeural	angry	-2%	0.97	100
清姫	清姫|清姫？	young_female	zh-CN-XiaoyiNeural	fearful	+4%	0.99	100
清少納言	清少納言|清少納言？	young_female	zh-CN-XiaoyiNeural	cheerful	+7%	1.06	100
ジャンヌ	ジャンヌ|ジャンヌ？	mature_female	zh-CN-XiaoxiaoNeural	gentle	+1%	0.96	100
スカサハ＝スカディ	スカサハ＝スカディ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
ラーマ	ラーマ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	0.99	100
段蔵	段蔵	mature_female	zh-CN-XiaoxiaoNeural	calm	0%	0.94	100
牛若丸	牛若丸|牛若丸？	androgynous	zh-CN-XiaoyiNeural	cheerful	+3%	1.02	100
