raw_name_box	name_box	count
マシュ	マシュ	40126
ダ・ヴィンチ	ダ・ヴィンチ	18600
？？？	？？？	8281
ゴルドルフ	ゴルドルフ	8154
ホームズ	ホームズ	8131
Dr.ロマン	Dr.ロマン	6501
カドック	カドック	4695
ジャンヌ・オルタ	ジャンヌ・オルタ	4412
モリアーティ	モリアーティ	3769
エリザベート	エリザベート	3742
シオン	シオン	3562
坂田金時	坂田金時	3497
武蔵	武蔵	3160
アルトリア	アルトリア	3045
フォウ	フォウ	2923
刑部姫	刑部姫	2867
カーマ	カーマ	2805
モードレッド	モードレッド	2756
オベロン	オベロン	2529
イアソン	イアソン	2520
ネモ	ネモ	2456
コヤンスカヤ	コヤンスカヤ	2262
エルメロイⅡ世	エルメロイⅡ世	2231
オルガマリー	オルガマリー	2220
イシュタル	イシュタル	2209
ロビンフッド	ロビンフッド	2206
紫式部	紫式部	2206
黒髭	黒髭	2174
葛飾北斎	葛飾北斎	2096
メドゥーサ	メドゥーサ	2083
ネロ	ネロ	2079
アビゲイル	アビゲイル	2073
ニトクリス	ニトクリス	2071
ギルガメッシュ	ギルガメッシュ	2068
茨木童子	茨木童子	1939
マンドリカルド	マンドリカルド	1916
ＢＢ	ＢＢ	1903
源頼光	源頼光	1886
エミヤ	エミヤ	1878
天草四郎	天草四郎	1796
太公望	太公望	1794
カイニス	カイニス	1763
清姫	清姫	1725
スカサハ＝スカディ	スカサハ＝スカディ	1725
ジャンヌ	ジャンヌ	1717
清少納言	清少納言	1682
ラーマ	ラーマ	1661
段蔵	段蔵	1653
スカサハ	スカサハ	1639
牛若丸	牛若丸	1600
千子村正	千子村正	1583
オリオン	オリオン	1566
アストルフォ	アストルフォ	1552
メイヴ	メイヴ	1534
シャルロット・コルデー	シャルロット・コルデー	1530
ペペロンチーノ	ペペロンチーノ	1526
マーリン	マーリン	1498
プトレマイオス	プトレマイオス	1497
パーシヴァル	パーシヴァル	1489
エリセ	エリセ	1464
アスクレピオス	アスクレピオス	1458
アナスタシア	アナスタシア	1452
ナポレオン	ナポレオン	1444
クー・フーリン	クー・フーリン	1404
虞美人	虞美人	1394
イリヤ	イリヤ	1377
風魔小太郎	風魔小太郎	1374
呼延灼	呼延灼	1369
酒呑童子	酒呑童子	1364
ガレス	ガレス	1355
三蔵	三蔵	1354
ダンテ	ダンテ	1344
アキレウス	アキレウス	1319
カルナ	カルナ	1305
沖田総司	沖田総司	1305
キリシュタリア	キリシュタリア	1300
モレー	モレー	1298
エジソン	エジソン	1293
トリスタン	トリスタン	1286
武則天	武則天	1278
キルケー	キルケー	1268
ライネス	ライネス	1254
エレシュキガル	エレシュキガル	1217
バーソロミュー	バーソロミュー	1207
シグルド	シグルド	1199
玉藻の前	玉藻の前	1190
徐福	徐福	1189
アルジュナ	アルジュナ	1184
ゴッホ	ゴッホ	1184
ムニエル	ムニエル	1176
ヴラド三世	ヴラド三世	1161
マリー	マリー	1148
ハベトロット	ハベトロット	1146
パッションリップ	パッションリップ	1145
サリエリ	サリエリ	1137
巴御前	巴御前	1121
エレナ	エレナ	1116
織田信長	織田信長	1115
エルキドゥ	エルキドゥ	1111
クリームヒルト	クリームヒルト	1098
高杉晋作	高杉晋作	1096
伊吹童子	伊吹童子	1092
シェヘラザード	シェヘラザード	1085
マルタ	マルタ	1083
オデュッセウス	オデュッセウス	1083
宮本伊織	宮本伊織	1079
長尾景虎	長尾景虎	1076
Ｘ・オルタ	Ｘ・オルタ	1073
鈴鹿御前	鈴鹿御前	1070
アンデルセン	アンデルセン	1063
